participant,condition,trial,guess,buy,laid,checked,check_rate
1,check,6-6,5,1,6,6,1.0
2,check,6-6,5,1,6,6,1.0
3,check,6-6,5,1,6,6,1.0
4,check,6-6,6,1,6,6,1.0
5,check,6-6,6,1,6,6,1.0
6,check,6-6,4,1,6,6,1.0
7,check,6-6,4,1,6,6,1.0
8,check,6-6,5,1,6,6,1.0
9,check,6-6,6,1,6,6,1.0
10,check,6-6,5,1,6,6,1.0
11,check,6-6,6,1,6,6,1.0
12,check,6-6,6,0,6,6,1.0
13,check,6-6,5,1,6,6,1.0
14,check,6-6,6,1,6,6,1.0
15,check,6-6,6,1,6,6,1.0
16,check,6-6,5,0,6,6,1.0
17,check,6-6,3,1,6,6,1.0
18,check,6-6,6,1,6,6,1.0
19,check,6-6,5,1,6,6,1.0
20,check,6-6,5,1,6,6,1.0
21,check,6-6,6,1,6,6,1.0
22,check,6-6,4,1,6,6,1.0
23,check,6-6,2,0,6,6,1.0
24,check,6-6,5,1,6,6,1.0
25,check,6-6,4,1,6,6,1.0
26,check,6-6,5,1,6,6,1.0
27,check,6-6,6,1,6,6,1.0
28,check,6-6,6,1,6,6,1.0
29,check,6-6,4,1,6,6,1.0
30,check,6-6,5,1,6,6,1.0
31,check,6-6,2,1,6,6,1.0
32,check,6-6,6,1,6,6,1.0
33,check,6-6,5,1,6,6,1.0
34,check,6-6,6,1,6,6,1.0
35,check,6-6,5,1,6,6,1.0
36,check,6-6,6,1,6,6,1.0
37,check,6-6,4,1,6,6,1.0
38,check,6-6,2,1,6,6,1.0
39,check,6-6,6,1,6,6,1.0
40,check,6-6,5,1,6,6,1.0
41,check,6-6,6,1,6,6,1.0
42,check,6-6,6,1,6,6,1.0
43,check,6-6,4,1,6,6,1.0
44,check,6-6,6,1,6,6,1.0
45,check,6-6,6,1,6,6,1.0
46,check,6-6,6,1,6,6,1.0
47,check,6-6,5,1,6,6,1.0
48,check,6-6,6,1,6,6,1.0
49,check,6-6,6,1,6,6,1.0
50,check,6-6,6,1,6,6,1.0
51,check,6-6,6,0,6,6,1.0
52,check,6-6,6,1,6,6,1.0
53,check,6-6,5,1,6,6,1.0
54,check,6-6,6,1,6,6,1.0
55,check,6-6,6,1,6,6,1.0
56,check,6-6,6,1,6,6,1.0
57,check,6-6,3,0,6,6,1.0
58,check,6-6,4,1,6,6,1.0
59,check,6-6,5,1,6,6,1.0
60,check,6-6,6,1,6,6,1.0
61,check,6-6,5,1,6,6,1.0
62,check,6-6,6,1,6,6,1.0
1,check,6-6,5,1,6,6,1.0
2,check,6-6,5,1,6,6,1.0
3,check,6-6,6,1,6,6,1.0
4,check,6-6,6,1,6,6,1.0
5,check,6-6,6,1,6,6,1.0
6,check,6-6,6,1,6,6,1.0
7,check,6-6,4,0,6,6,1.0
8,check,6-6,5,1,6,6,1.0
9,check,6-6,6,1,6,6,1.0
10,check,6-6,5,1,6,6,1.0
11,check,6-6,6,1,6,6,1.0
12,check,6-6,6,0,6,6,1.0
13,check,6-6,6,1,6,6,1.0
14,check,6-6,6,1,6,6,1.0
15,check,6-6,6,1,6,6,1.0
16,check,6-6,3,0,6,6,1.0
17,check,6-6,2,1,6,6,1.0
18,check,6-6,6,1,6,6,1.0
19,check,6-6,5,1,6,6,1.0
20,check,6-6,4,1,6,6,1.0
21,check,6-6,6,1,6,6,1.0
22,check,6-6,6,1,6,6,1.0
23,check,6-6,4,1,6,6,1.0
24,check,6-6,5,1,6,6,1.0
25,check,6-6,5,1,6,6,1.0
26,check,6-6,5,1,6,6,1.0
27,check,6-6,6,1,6,6,1.0
28,check,6-6,5,1,6,6,1.0
29,check,6-6,3,1,6,6,1.0
30,check,6-6,5,1,6,6,1.0
31,check,6-6,5,1,6,6,1.0
