participant,condition,age,education,guess_1,buy_1,guess_2,buy_2,guess_3,buy_3,guess_4,buy_4,guess_5,buy_5,guess_6,buy_6,guess_7,buy_7,guess_8,buy_8,guess_9,buy_9,guess_10,buy_10,guess_11,buy_11,guess_12,buy_12,explanation
1,check,29,"Some college credit, no degree",5,1,5,1,4,1,4,1,2,0,2,0,2,0,3,1,3,1,4,0,2,1,1,0,I just tried to use common sense and make an educated guess off of Alex's selections and his frequency of choosing to buy
2,check,35,Bachelo's degree,5,1,5,1,4,1,4,1,2,0,0,0,5,0,6,1,5,1,4,1,3,0,1,1,"I thought this was dumb. If you want me to llay a game, let me play it. I just guessed based on the number they picked"
3,check,39,"High school graduate, diploma, or the equivalent",5,1,6,1,5,1,5,1,2,0,1,0,6,1,5,1,5,1,5,1,2,0,1,0,I mostly followed the pattern that I developed from watching Alex make his choices on when I should keep an egg.
4,check,45,"Some college credit, no degree",6,1,6,1,5,1,5,1,2,0,1,0,6,1,6,1,5,1,5,1,2,0,1,0,I generally went with what Alex did. Sometimes I felt like guessing a little more on the conservative side.
5,check,30,"High school graduate, diploma, or the equivalent",6,1,6,1,5,1,5,1,2,0,1,0,6,1,6,1,5,1,5,1,2,0,1,0,I judged by how many he bought. I thought that he probably went with the odds. If he buys alot then the odds are very high that the chicken gives lots of tickets.
6,check,33,"High school graduate, diploma, or the equivalent",4,1,6,1,6,1,5,1,1,0,0,0,6,1,0,0,1,0,4,1,3,1,0,0,"Trusted my gut, honestly based on how many Alex had bought."
7,check,34,"Some college credit, no degree",4,1,4,0,4,1,4,0,3,1,5,1,4,1,2,0,5,0,4,0,1,1,2,1,"Well, I figured that if he had a bad round, odds were higher that i'd end up with a not so bad round."
8,check,24,"High school graduate, diploma, or the equivalent",5,1,5,1,4,1,5,1,2,0,4,1,5,1,5,1,4,1,4,1,2,0,1,0,"i followed alex's lead, but was conservative with my estimate"
9,check,38,Bachelo's degree,6,1,6,1,5,1,5,1,2,0,1,0,5,1,6,1,5,1,5,1,4,0,1,0,"Since the other player knew the chances, I used their judgment."
10,check,37,Bachelo's degree,5,1,5,1,4,1,4,1,3,0,1,0,5,1,5,1,4,1,4,1,2,0,1,0,the eggs that were bought minus 1
11,check,25,Doctorate degree,6,1,6,1,5,1,5,0,2,0,1,0,6,1,6,1,5,1,5,1,2,0,1,0,"By how Alex ""will opening"" the eggs he chose"
12,check,29,Bachelo's degree,6,0,6,0,5,1,5,1,2,1,1,1,6,0,6,0,5,1,5,1,2,1,1,1,i guessed based on how many he chose to buy becuase he's supposed to know the rates
13,check,65,"Some college credit, no degree",5,1,6,1,5,0,4,0,2,0,1,0,6,1,6,1,5,0,5,0,3,0,4,0,I decided to buy ones where he collected all the eggs. It was hit or miss otherwise.
14,check,35,Bachelo's degree,6,1,6,1,5,1,5,1,2,0,1,0,6,1,6,1,5,1,5,1,2,0,1,0,I based them on how many Alex bought since he supposedly knows the best chickens.
15,check,42,"Some college credit, no degree",6,1,6,1,5,1,5,1,2,0,5,1,6,1,6,1,5,1,5,1,4,0,1,0,"I followed Alex's lead, if he let one go I assumed that there's only 5 out of 6 that would have it."
16,check,29,Bachelo's degree,5,0,3,0,3,0,3,1,3,1,3,1,4,0,1,1,2,1,4,0,3,1,1,0,I imagined they all had around the same probability since six random eggs were chosen instead of being selected as a series.
17,check,48,"Some college credit, no degree",3,1,2,1,2,1,2,1,0,0,1,0,2,1,4,1,3,1,3,1,1,0,1,0,If he bought many of them it gave me the idea there would be a good chance t would have a ticket.
18,check,31,Bachelo's degree,6,1,6,1,5,1,5,1,2,0,1,0,6,1,6,1,5,1,5,1,2,0,1,0,I based my guess on how many Alex picked to pay with a token.
19,check,31,Bachelo's degree,5,1,5,1,4,1,4,1,3,0,1,0,5,1,5,1,4,1,4,1,3,0,1,0,I used my intuition on the matter.
20,check,27,Maste's degree,5,1,4,1,1,0,5,0,6,0,3,0,6,0,4,0,2,0,5,0,3,0,4,0,good eggs game study 
21,check,22,Bachelo's degree,6,1,6,1,5,1,5,1,2,0,1,0,6,1,6,1,5,1,5,1,2,0,1,0,I trusted Alex's experience of playing many many games and getting to know the chickens.
22,check,32,Associate degree,4,1,6,1,4,1,5,1,2,0,5,1,6,1,6,1,1,0,4,1,2,0,1,0,I trusted Alex’s judgement for the most part
23,check,28,Professional degree,2,0,4,1,2,1,4,1,1,1,5,1,2,1,4,1,4,1,3,1,3,1,3,1,I guessed that by Alex Decision
24,check,37,"Some college credit, no degree",5,1,5,1,5,1,5,1,2,1,1,0,5,1,6,1,4,1,5,1,2,0,1,1,I went off of how many ALex bought.
25,check,48,"High school graduate, diploma, or the equivalent",4,1,5,1,4,1,4,1,1,0,1,0,5,1,5,1,4,1,4,1,1,0,1,0,"I figured Alex had some knowledge of which chicken was most likely to lay golden eggs, but he's not perfect and there's a chance that some of the ones he bought would not have tickets, so I took the number of eggs he bought and assumed at least one would be a dud. "
26,check,46,Bachelo's degree,5,1,5,1,4,1,5,1,2,0,1,0,5,1,5,1,5,1,5,1,2,0,1,0,I guessed based on how many eggs Alex chose to buy with the token. Because Alex is suppose to know so much about the game I went on his choices. 
27,check,43,Associate degree,6,1,6,1,5,1,5,1,2,0,1,0,6,1,6,1,5,1,5,1,2,0,1,0,I pretty much went by the number of golden eggs that the chicken originally laid and assumed that it was a good estimate. 
28,check,28,Maste's degree,6,1,5,1,5,1,5,1,5,1,5,1,4,1,4,1,3,1,4,1,2,1,5,1,guess the eggs and the tokens and make the answers.
29,check,38,Bachelo's degree,4,1,3,1,1,1,2,1,0,0,0,0,4,1,3,1,1,0,3,1,0,0,0,0,By watching Alex play and nature gut feelings.
30,check,29,"Some college credit, no degree",5,1,5,1,4,1,4,1,1,0,1,0,5,1,5,1,4,1,4,1,0,0,0,0,The player might not be that right and I gave one egg that may not have a ticket just in case for each of the robot chickens
31,check,63,Bachelo's degree,2,1,5,1,1,1,1,1,2,1,1,1,4,1,3,1,3,1,2,1,2,1,1,1,"mI attempted to use Alex's logic.  Using the amount of eggs he selected, I tried to ask myself if the chicken would most likely have another egg with a ticket,, or not.  "
32,check,31,"Some college credit, no degree",6,1,6,1,5,1,5,1,2,0,1,0,6,1,6,1,5,1,5,1,2,0,1,0,I just followed Alex's behavior. If he drew a certain amount then I figured that must be the number of eggs that would have a ticket
33,check,64,Bachelo's degree,5,1,3,0,3,1,3,1,2,1,6,0,3,1,4,1,3,0,4,1,2,1,4,1,Good
34,check,60,Bachelo's degree,6,1,6,1,5,1,5,1,2,0,1,0,6,1,6,1,5,1,5,1,2,0,1,0,"If Alex bought a lot, I would buy a lot. If Alex didn't buy a lot, I didn't buy it."
35,check,42,Maste's degree,5,1,5,1,4,1,4,1,2,1,0,0,4,0,5,1,4,1,4,1,1,0,1,0,no idea
36,check,26,Bachelo's degree,6,1,6,1,5,1,5,1,4,0,1,0,6,1,6,1,5,1,5,1,2,0,2,0,how many were chosen by Alex
37,check,58,Bachelo's degree,4,1,4,1,4,1,3,1,1,0,1,0,4,1,5,1,3,1,3,0,2,0,1,0,I just used Alex's opinions and went low or high based upon that
38,check,26,Bachelo's degree,2,1,4,1,1,1,1,1,3,1,3,1,3,1,2,1,2,0,3,0,2,0,2,1,I just finished those rounds by some predictions based on the demo videos.
39,check,28,Bachelo's degree,6,1,5,1,4,1,4,1,2,0,1,0,5,1,5,1,4,1,4,1,2,0,1,0,"I guessed based on the ratio that was more likely with the chickens that Alex spent more tokens on. If he spent more tokens on a chicken, I typically expected there to be a high amount of eggs that have a golden ticket inside."
40,check,26,"Some college credit, no degree",5,1,5,1,3,1,5,1,2,0,1,0,5,1,5,1,4,1,4,1,2,0,1,0,Based on what Alex was picking
41,check,54,Bachelo's degree,6,1,6,1,5,1,5,1,2,0,1,0,6,1,6,1,5,1,5,1,2,0,1,0,I guessed that it would be the same number Alex would want to buy
42,check,24,Bachelo's degree,6,1,6,1,5,1,5,1,2,0,1,0,6,1,6,1,5,1,5,1,2,0,1,0,I trusted Alex's choices.
43,check,26,"High school graduate, diploma, or the equivalent",4,1,4,1,2,1,2,1,1,0,1,0,3,1,5,1,2,1,2,1,1,0,1,0,I figure about half of the eggs he bought might have tickets
44,check,23,Bachelo's degree,6,1,6,1,5,1,5,1,2,1,1,0,6,1,6,1,5,1,5,1,2,1,1,1,"Just based on what was shown in the video really, as well as at what time each was won or skipped."
45,check,40,"Some college credit, no degree",6,1,6,1,4,1,5,1,1,0,1,0,5,1,5,1,6,1,4,1,2,0,1,0,I just estimated based on the number of eggs picked by the player who knew the game. 
46,check,32,Maste's degree,6,1,6,1,5,1,5,1,2,0,1,0,6,1,6,1,5,1,5,1,2,0,0,0,Based on how many eggs Alex chose
