condition,trial,rank,n_check,n_hit,CRO,HRO,CHR,block,outcome,group
12to12,inconsistent03,7,20,2,0.99999968,0.1,0.51961742,3,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A
12to12,inconsistent01,5,3,3,0.06163004,0.99999692,0.20679871,1,"[1, 1, 1]",B
12to12,consistent05,219,14,7,0.52497059,0.5,0.51738118,2,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1]",C
12to12,inconsistent02,6,19,0,0.9013581,3.84E-07,0.4647894,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",D
12to12,consistent02,216,15,9,0.57008877,0.6,0.5807389,4,"[1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0]",E
12to12,consistent08,222,13,6,0.48400975,0.46153846,0.47787627,1,"[0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1]",F
12to12,inconsistent05,1,20,0,0.99999968,3.84E-07,0.48208489,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",G
12to12,consistent03,217,12,5,0.44568944,0.41666667,0.43842873,3,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0]",H
12to12,consistent09,223,17,12,0.68415322,0.70588264,0.69542161,2,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1]",I
12to12,inconsistent09,3,2,2,0.00016447,0.99999692,0.14950368,2,"[1, 1]",J
12to12,inconsistent12,18,7,7,0.26183415,0.99999923,0.38520533,3,"[1, 1, 1, 1, 1, 1, 1]",K
12to12,consistent01,215,15,8,0.57008877,0.53333333,0.5574064,3,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1]",L
12to12,consistent11,225,19,17,0.9013581,0.89473684,0.89556812,1,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",M
12to12,inconsistent10,4,20,1,0.99999968,0.05,0.50091325,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",N
12to12,consistent07,221,7,2,0.26183415,0.28571419,0.26677075,2,"[1, 1, 0, 0, 0, 0, 0]",O
12to12,inconsistent11,17,19,3,0.9013581,0.15789474,0.52222774,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",P
12to12,inconsistent08,20,20,6,0.99999968,0.29999954,0.5959678,1,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",Q
12to12,consistent12,226,9,3,0.33692012,0.33333333,0.33615501,1,"[0, 0, 1, 1, 0, 0, 0, 0, 1]",R
12to12,inconsistent04,8,4,4,0.12413923,0.99999846,0.25667356,4,"[1, 1, 1, 1]",S
12to12,inconsistent07,19,18,1,0.76726091,0.05555556,0.46671329,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",T
12to12,consistent06,220,5,1,0.17576975,0.2000001,0.18133014,4,"[0, 0, 0, 1, 0]",U
12to12,inconsistent06,2,1,1,1.87E-05,0.99999385,0.08089238,3,[1],V
12to12,consistent04,218,10,4,0.37292977,0.4,0.37886694,4,"[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]",W
