infer1,infer2,infer3,infer4,infer5,infer6,infer7,infer8,infer9,infer10,infer11,infer12,infer13,infer14,infer15,infer16,infer17,infer18,infer19,infer20,infer21,infer22,infer23,infer24,scan1,scan2,scan3,scan4,scan5,scan6,scan7,scan8,scan9,scan10,scan11,scan12,scan13,scan14,scan15,scan16,scan17,scan18,scan19,scan20,scan21,scan22,scan23,scan24,age,strategy,knowledge,precision,recall,fairness,prolific_id,condition,id,experiment
20,1,10,0,10,8,9,10,13,14,1,10,14,11,4,15,20,7,0,0,2,7,10,14,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21,"There was a hard to me to guess, but i think that was a proportion 4:6",6.0,4.0,6.0,2.0,5c5efab2abbcc10001e7033d,unknown,exp2_check_0,2
20,3,14,19,15,13,11,12,17,18,2,15,19,17,7,16,20,9,4,1,5,11,10,18,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31,More that need to be scanned more chance of them stealing a gem as Alex knows the theft rate of each planet,6.0,6.0,5.0,6.0,60abe0e084d9299849d12482,unknown,exp2_check_1,2
19,2,14,18,14,12,10,11,15,17,3,12,18,16,6,14,19,9,5,5,8,10,10,15,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,20,Usually around the same number of scanned aliens,5.0,3.0,5.0,2.0,5f983bd4def6160c1aca8e4f,unknown,exp2_check_2,2
0,7,7,1,5,5,3,2,13,10,0,3,1,3,3,4,5,4,4,8,1,11,1,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,25,I think Alex is a corrupt racist who deals with people on the planet where they say they hardly steal gems and punishes those who are famous for stealing them.,7.0,1.0,1.0,1.0,60918e685252c18eb51822df,unknown,exp2_check_3,2
14,2,10,15,10,10,8,10,13,14,1,10,16,13,4,11,16,5,2,1,3,8,10,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30,I assumed Alex was roughly right but would be over cautious so I took a small amount off the number they had chosen to scan,5.0,3.0,3.0,1.0,5af5e288e19f8c00019e3d09,unknown,exp2_check_4,2
20,3,14,0,15,13,11,12,17,18,2,15,19,17,7,16,18,9,3,1,5,11,10,18,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,21,"By ammount of scanned visitors by Alex, since he's trained and use scan only when necessery.",6.0,6.0,5.0,4.0,607c8709cdcb30c2efda8ba2,unknown,exp2_check_6,2
18,3,14,14,15,13,9,12,17,16,2,15,16,16,7,16,18,9,4,1,5,11,10,16,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,By the number of scanned visitors taking count the given(or not) number if thieves in that amount of scanned visitors,4.0,4.0,4.0,4.0,5d96798dcca6950015c5dc72,unknown,exp2_check_8,2
16,1,5,16,8,6,5,8,15,14,1,11,16,12,4,9,18,6,3,1,3,6,7,15,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,25,20%,5.0,4.0,5.0,4.0,5f3f0a2bbc64cf1fe881c7ba,unknown,exp2_check_12,2
20,3,14,19,15,13,11,12,15,15,1,15,19,17,7,16,19,9,2,0,3,9,10,18,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,54,by the number that were on the left,5.0,6.0,5.0,5.0,5d5d0a99091a1d0001e1cc1d,unknown,exp2_check_14,2
18,3,14,15,15,13,11,12,17,18,2,15,19,17,7,16,20,9,4,1,5,11,10,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,I relied on Alex's experience,5.0,5.0,6.0,6.0,5df8a188dc853561881a5154,unknown,exp2_check_16,2
